id,State,source,Agricultural_2018,Non_Agricultural_2018,Agricultural_2017,Non_Agricultural_2017,Agricultural_2016,Non_Agricultural_2016,Agricultural_2015,Non_Agricultural_2015,Agricultural_2014,Non_Agricultural_2014,Agricultural_2013,Non_Agricultural_2013,Agricultural_2012,Non_Agricultural_2012,Agricultural_2011,Non_Agricultural_2011,Agricultural_2010,Non_Agricultural_2010,source_ab,target_ab
1182,Sikkim,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,SK
1183,Tamil Nadu,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TN
1184,Telangana,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TE
1185,Tripura,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TR
1186,Uttar Pradesh,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,UP
1187,Uttarakhand,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,UR
1188,West Bengal,Tripura,0,0,0,353715963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,WB
1189,Andaman & Nicobar Islands,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,AN
1190,Andhra Pradesh,Uttar Pradesh,13222629250,0,3253958351,0,1384714392,145656569,695605556,0,6455335450,2280594,800618256,5379012,773327326,3473472,403836000,36057457,696729000,3206016,UP,AP
1191,Arunachal Pradesh,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29803200,0,0,0,UP,AR
